1764366959.1319764, 384
1764366959.1609344, 768
1764366959.1908095, 1152
1764366959.2305033, 1536
1764366959.2608862, 1920
1764366959.2905366, 2304
1764366959.3209262, 2688
1764366959.3503342, 3072
1764366959.390767, 3456
1764366959.4208686, 3840
1764366959.450852, 4224
1764366959.480838, 4608
1764366959.5108173, 4992
1764366959.5507936, 5376
1764366959.5807903, 5760
1764366959.6231084, 6144
1764366959.6420968, 6528
1764366959.67259, 6912
1764366959.712074, 7296
1764366959.745954, 7680
1764366959.7720633, 8064
1764366959.8315375, 8448
1764366959.8495266, 8832
1764366959.8735132, 9216
1764366959.905517, 9600
1764366959.9340067, 9984
1764366959.9759817, 10368
1764366959.9929745, 10752
1764366960.0329497, 11136
1764366960.0629294, 11520
1764366960.0929124, 11904
1764366960.1229177, 12288
1764366960.1518996, 384
1764366960.1903443, 768
1764366960.2213278, 1152
1764366960.2503314, 1536
1764366960.2804346, 1920
1764366960.3102517, 2304
1764366960.3504999, 2688
1764366960.380819, 3072
1764366960.4110415, 3456
1764366960.4409878, 3840
1764366960.4709513, 4224
1764366960.5109193, 4608
1764366960.541319, 4992
1764366960.5713153, 5376
1764366960.6002984, 5760
1764366960.631352, 6144
1764366960.6722202, 6528
1764366960.70222, 6912
