cycle_str,t_elapsed,unix_ts,cand_id,decode_success,sync_score,snr,llr_sd,ldpc_iters
251129_140215,14.65,1764424949.65,271,1,6.402398586273193,-11,2.646574,3
251129_140215,14.795,1764424949.795,229,1,6.237475872039795,8,2.802733,6
251129_140215,14.793,1764424949.793,76,0,2.6122372150421143,-17,2.4073143,0
251129_140215,14.889,1764424949.889,113,0,2.454852342605591,-10,2.3235245,0
251129_140215,14.956,1764424949.956,107,0,3.9935050010681152,-9,2.2834556,0
251129_140230,0.074,1764424950.074,152,0,4.5011467933654785,-5,2.2571516,0
251129_140230,0.077,1764424950.077,187,1,4.005512237548828,4,2.4425893,3
251129_140230,0.084,1764424950.084,270,1,6.869333267211914,-11,2.6706088,6
251129_140230,0.192,1764424950.192,269,0,4.4390058517456055,-11,2.2127142,0
251129_140230,0.191,1764424950.191,104,0,3.8046324253082275,-9,2.2455924,0
251129_140230,0.139,1764424950.139,153,0,4.632478713989258,-5,2.2238724,0
251129_140230,0.222,1764424950.222,66,0,2.4510953426361084,-11,2.1783092,0
251129_140230,0.363,1764424950.363,149,0,2.7005250453948975,-3,2.136656,0
251129_140230,0.881,1764424950.881,166,1,4.0173540115356445,-18,2.3848403,5
251129_140230,1.106,1764424951.106,150,0,2.444474220275879,-3,2.085285,0
251129_140230,1.23,1764424951.23,168,1,3.2752552032470703,-18,2.1465821,6
251129_140230,1.249,1764424951.249,188,0,2.7952094078063965,4,2.055051,0
251129_140230,1.368,1764424951.368,67,0,2.355753183364868,-11,2.0280714,0
251129_140230,1.419,1764424951.419,143,0,2.3202357292175293,-4,1.9196719,0
251129_140230,1.489,1764424951.489,165,0,2.4913382530212402,-19,1.9126556,0
251129_140230,1.49,1764424951.49,260,0,2.4965879917144775,-24,1.8763187,0
251129_140230,1.624,1764424951.624,144,0,2.462188482284546,-5,1.8753241,0
251129_140230,1.637,1764424951.637,151,0,2.6576662063598633,-5,1.8237245,0
251129_140230,1.732,1764424951.732,32,0,2.8810181617736816,14,3.7209742,0
251129_140230,1.829,1764424951.829,247,0,2.65948224067688,-4,3.6402836,0
251129_140230,1.828,1764424951.828,248,0,2.7829322814941406,-4,3.3643131,0
251129_140230,2.065,1764424952.065,115,0,3.0044755935668945,5,2.8367655,0
251129_140230,2.161,1764424952.161,212,0,3.3663241863250732,-1,2.7289429,0
251129_140230,2.278,1764424952.278,213,0,2.5127437114715576,-1,2.530552,0
251129_140230,2.776,1764424952.776,72,0,2.4700491428375244,-17,2.5349007,21
251129_140230,2.838,1764424952.838,197,0,2.501943349838257,-2,2.3550987,0
251129_140230,2.855,1764424952.855,264,0,3.689377546310425,-12,2.1923203,0
251129_140230,2.98,1764424952.98,68,0,3.7006211280822754,-13,2.1406236,0
251129_140230,3.11,1764424953.11,65,0,4.253488540649414,-11,2.8794641,26
251129_140230,3.065,1764424953.065,69,1,4.815439701080322,-14,2.480888,3
251129_140230,3.191,1764424953.191,263,0,3.3889660835266113,-12,1.9862187,0
251129_140230,3.719,1764424953.719,63,0,3.4684979915618896,-11,2.5894494,26
251129_140230,3.993,1764424953.993,258,0,2.3475019931793213,-24,2.1608062,23
251129_140230,4.232,1764424954.232,205,0,4.340160846710205,-1,3.0341725,33
251129_140230,4.275,1764424954.275,272,0,3.494931697845459,-11,2.0920136,27
251129_140230,4.595,1764424954.595,275,0,2.3174076080322266,-11,2.4163084,33
251129_140230,5.079,1764424955.079,116,0,3.1934759616851807,5,2.9958465,29
251129_140230,5.158,1764424955.158,186,0,3.3976731300354004,4,2.195393,34
251129_140230,5.314,1764424955.314,70,0,3.7667064666748047,-14,2.0737288,30
251129_140230,10.761,1764424960.761,549,0,2.3704068660736084,-13,2.1607711,0
251129_140230,10.895,1764424960.895,548,0,2.382927894592285,-13,2.2520962,0
251129_140230,10.937,1764424960.937,451,0,2.9842052459716797,-4,2.3470669,0
251129_140230,10.938,1764424960.938,452,0,2.785069227218628,-4,2.3171406,0
251129_140230,10.939,1764424960.939,666,0,2.703859329223633,-13,1.9563947,0
251129_140230,10.976,1764424960.976,546,0,2.9399173259735107,-13,2.2269075,0
251129_140230,10.977,1764424960.977,547,0,2.8243792057037354,-13,2.3228247,0
251129_140230,11.427,1764424961.427,449,0,2.3170852661132812,-5,1.8821169,0
251129_140230,11.571,1764424961.571,450,0,2.6368439197540283,-4,1.9950737,34
251129_140230,11.738,1764424961.738,555,0,3.1348118782043457,-13,2.2730558,0
251129_140230,11.739,1764424961.739,429,0,2.4481170177459717,3,2.3317068,0
251129_140230,11.737,1764424961.737,426,0,2.96305251121521,4,2.648658,0
4,0
251129_140230,11.742,1764424961.742,684,0,2.7806396484375,-15,2.2232533,0
251129_140230,11.741,1764424961.741,428,0,2.4151148796081543,3,2.193031,0
251129_140230,11.74,1764424961.74,553,0,2.5509867668151855,-13,2.2057106,0
251129_140230,11.736,1764424961.736,425,0,2.671534776687622,4,3.0189438,0
251129_140230,11.744,1764424961.744,437,0,2.5536510944366455,-4,2.1924338,0
251129_140230,11.746,1764424961.746,430,0,2.585841417312622,4,1.8264768,0
251129_140230,11.743,1764424961.743,380,0,2.302755355834961,-11,2.0481105,0
251129_140230,11.769,1764424961.769,775,0,2.332616090774536,-1,1.9799919,0
251129_140230,11.747,1764424961.747,685,0,2.5093514919281006,-15,1.954403,0
251129_140230,11.748,1764424961.748,438,0,2.686471700668335,-4,2.0207365,0
251129_140230,11.745,1764424961.745,494,0,2.587115526199341,-3,1.8582909,0
251129_140230,12.256,1764424962.256,427,0,2.560250759124756,4,2.6603825,29
251129_140230,12.328,1764424962.328,386,0,2.3262667655944824,6,2.670409,0
251129_140230,12.326,1764424962.326,657,0,2.3720924854278564,7,2.8456476,0
251129_140230,12.327,1764424962.327,387,0,2.380934953689575,6,2.7452052,0
251129_140230,12.324,1764424962.324,552,0,3.6135687828063965,-12,2.9561133,0
251129_140230,12.327,1764424962.327,393,0,2.3888962268829346,6,2.7189796,0
251129_140230,12.332,1764424962.332,770,0,2.4734079837799072,-1,2.233019,0
251129_140230,12.33,1764424962.33,550,0,2.8390166759490967,-12,2.490654,0
251129_140230,12.329,1764424962.329,687,0,3.384852409362793,-14,2.5846448,0
251129_140230,12.329,1764424962.329,658,0,2.3343842029571533,7,2.6342168,0
251129_140230,12.344,1764424962.344,688,0,2.700848340988159,-14,2.1551096,0
251129_140230,12.355,1764424962.355,606,0,2.8005480766296387,-9,2.069803,0
251129_140230,12.346,1764424962.346,608,0,3.1915392875671387,-11,2.1012847,0
251129_140230,12.347,1764424962.347,605,0,2.8369052410125732,-9,2.1727412,0
251129_140230,12.345,1764424962.345,686,0,2.362488269805908,-14,2.1441977,0
251129_140230,12.405,1764424962.405,418,0,2.387505531311035,11,1.9515171,0

251129_140230,12.377,1764424962.377,618,0,2.700234889984131,-5,1.9996359,0
251129_140230,12.408,1764424962.408,507,0,2.3078975677490234,9,1.8887981,0
251129_140230,12.413,1764424962.413,440,0,2.4064414501190186,-4,1.8472699,0
251129_140230,12.415,1764424962.415,557,0,3.037247896194458,-12,1.8118374,0
251129_140230,12.417,1764424962.417,619,0,2.414262056350708,-5,1.8079885,0
251129_140230,12.398,1764424962.398,617,0,2.3925862312316895,-5,1.9917564,0
251129_140230,12.378,1764424962.378,609,0,2.519449234008789,-11,2.023332,0
251129_140230,12.406,1764424962.406,768,0,2.4100143909454346,-1,1.8957893,0
251129_140230,13.049,1764424963.049,392,0,2.3922810554504395,6,2.8516386,19
251129_140230,13.088,1764424963.088,551,0,3.8275177478790283,-12,2.8925817,22
251129_140230,13.162,1764424963.162,641,0,3.3263864517211914,0,2.62254,0
251129_140230,13.161,1764424963.161,238,0,5.9314985275268555,0,2.697187,0
251129_140230,13.16,1764424963.16,642,0,2.4616706371307373,0,2.7150717,0
251129_140230,13.159,1764424963.159,181,0,2.311227321624756,10,2.8977232,0
251129_140230,13.164,1764424963.164,395,0,2.416109323501587,6,2.5665002,0
251129_140230,13.163,1764424963.163,237,0,6.842343330383301,0,2.9104083,0
251129_140230,13.162,1764424963.162,638,0,2.547210454940796,0,2.6534648,0
251129_140230,13.161,1764424963.161,196,0,2.3054041862487793,-8,2.9263275,0
251129_140230,13.197,1764424963.197,396,0,2.5471959114074707,6,2.4659355,0
251129_140230,13.207,1764424963.207,413,0,2.674680233001709,9,2.430824,0
251129_140230,13.196,1764424963.196,643,0,2.400095224380493,0,2.4859264,0
251129_140230,13.183,1764424963.183,394,0,2.3154666423797607,6,2.510794,0
251129_140230,13.208,1764424963.208,639,0,2.6928930282592773,0,2.403861,0
251129_140230,13.209,1764424963.209,620,0,2.7062697410583496,-4,2.4107392,0
251129_140230,13.212,1764424963.212,640,0,3.3551111221313477,0,2.3794413,0
251129_140230,13.236,1764424963.236,414,0,2.9878673553466797,11,2.2993202,0
251129_140230,13.23,1764424963.23,773,0,6.897508144378662,-1,2.3035169,0
251129_140230,13.231,1764424963.231,385,0,2.4628548622131348,6,2.385586,0
251129_140230,13.237,1764424963.237,772,0,6.88192081451416,-1,2.2392933,0
251129_140230,13.255,1764424963.255,599,0,2.431746482849121,-9,2.2112198,0
251129_140230,13.228,1764424963.228,415,0,2.5003511905670166,11,2.3602314,0
251129_140230,13.259,1764424963.259,774,0,4.4031147956848145,-1,2.1136193,0
251129_140230,13.256,1764424963.256,147,0,3.063093423843384,-12,2.1855435,0
251129_140230,13.263,1764424963.263,771,0,4.236772060394287,-1,2.0461292,0
251129_140230,13.258,1764424963.258,384,0,2.6785528659820557,6,2.1998036,0
251129_140230,13.265,1764424963.265,424,0,2.429718017578125,12,2.0041099,0
251129_140230,13.261,1764424963.261,189,0,2.3975820541381836,7,2.0164313,0
251129_140230,13.307,1764424963.307,556,0,2.5482118129730225,-10,1.9239838,0
251129_140230,13.264,1764424963.264,598,0,2.895009756088257,-9,1.9970199,0
251129_140230,13.291,1764424963.291,607,0,2.512394428253174,-9,1.9276254,0
251129_140230,13.263,1764424963.263,621,0,2.3218770027160645,-4,2.0335815,0
251129_140230,13.324,1764424963.324,190,0,3.050309658050537,5,1.894968,0
251129_140230,13.308,1764424963.308,148,0,2.6828153133392334,-12,1.9957812,0
251129_140230,13.323,1764424963.323,591,0,2.7143819332122803,-9,1.8447467,0
251129_140230,13.325,1764424963.325,593,0,2.7617626190185547,-9,1.8008784,0
251129_140230,13.86,1764424963.86,236,0,4.401682376861572,0,2.9094763,20
251129_140230,14.005,1764424964.005,637,0,2.6568784713745117,0,2.7048776,26
251129_140230,14.099,1764424964.099,648,0,2.3874692916870117,0,3.4400163,0
251129_140230,14.1,1764424964.1,588,0,5.587390899658203,10,3.3187935,0
251129_140230,14.102,1764424964.102,585,0,2.3568592071533203,10,3.5945077,0
251129_140230,14.103,1764424964.103,246,0,2.320446729660034,0,3.112305,0
251129_140230,14.105,1764424964.105,589,0,3.496136426925659,10,3.1535404,0
251129_140230,14.102,1764424964.102,587,0,5.755969047546387,10,3.4013538,0
251129_140230,14.108,1764424964.108,649,0,2.4673383235931396,0,2.9936173,0
251129_140230,14.104,1764424964.104,250,0,2.52418851852417,0,3.6784604,0
251129_140230,14.101,1764424964.101,645,0,8.001243591308594,0,3.2939343,0
251129_140230,14.127,1764424964.127,584,0,2.402036666870117,10,2.9346328,0
251129_140230,14.13,1764424964.13,656,0,4.558383941650391,7,2.8782253,0
251129_140230,14.129,1764424964.129,647,0,6.214291095733643,0,2.934309,0
251129_140230,14.107,1764424964.107,654,0,7.058215618133545,7,3.0891988,0
251129_140230,14.1,1764424964.1,646,0,8.942842483520508,0,3.3126948,0
251129_140230,14.106,1764424964.106,655,0,6.198202133178711,7,3.0235085,0
251129_140230,14.104,1764424964.104,586,0,3.6626508235931396,10,3.102337,0
251129_140230,14.134,1764424964.134,389,0,3.7056005001068115,5,2.8362753,0
251129_140230,14.141,1764424964.141,388,0,2.358368396759033,5,2.7081635,0
251129_140230,14.145,1764424964.145,184,0,2.5756523609161377,8,2.6280653,0
251129_140230,14.143,1764424964.143,183,0,2.458509683609009,8,2.6912293,0
251129_140230,14.144,1764424964.144,390,1,3.717231035232544,6,2.9935372,1
251129_140230,14.151,1764424964.151,652,0,2.5441291332244873,7,2.5897863,0
251129_140230,14.155,1764424964.155,182,0,2.3869802951812744,8,2.5453174,0
251129_140230,14.146,1764424964.146,391,0,2.5379345417022705,6,2.7353096,0
251129_140230,14.157,1764424964.157,146,0,2.4681150913238525,-10,2.5029964,0
251129_140230,14.153,1764424964.153,650,0,2.4373276233673096,7,2.6012976,0
251129_140230,14.158,1764424964.158,185,0,2.6746318340301514,8,2.4487178,0
251129_140230,14.159,1764424964.159,600,0,3.308828830718994,-8,2.4430177,0
251129_140230,14.161,1764424964.161,195,0,2.544189453125,-9,2.3407488,0
251129_140230,14.163,1764424964.163,602,0,10.364535331726074,-9,2.274156,0
251129_140230,14.168,1764424964.168,370,0,2.635023593902588,12,2.1671405,0
251129_140230,14.162,1764424964.162,367,0,12.642383575439453,12,2.2746937,0
251129_140230,14.164,1764424964.164,369,0,4.296477317810059,11,2.2633572,0
251129_140230,14.165,1764424964.165,198,0,2.3136894702911377,-9,2.2418053,0
